,date,team_1,team_2,win_1,win_2
525,2011-11-19,ESP,URU,True,False
526,2011-11-19,POL,GER,True,False
527,2011-11-26,BNS,AUS,False,True
528,2011-11-26,AND,SUI,False,True
529,2011-11-26,CZE,MDA,False,True
530,2011-11-29,SOL,NIU,True,False
531,2011-11-29,PNG,VAN,True,False
532,2011-12-01,VAN,NIU,False,True
533,2011-12-01,SOL,PNG,False,True
534,2011-12-03,VAN,SOL,False,True
535,2011-12-03,PNG,NIU,True,False
536,2011-12-03,WAL,AUS,False,True
537,2011-12-10,BRA,KEN,False,True
538,2011-12-10,HKG,UAE,True,False
539,2011-12-13,HKG,KEN,True,False
540,2011-12-13,UAE,BRA,False,True
541,2011-12-16,UAE,KEN,False,True
542,2011-12-16,HKG,BRA,True,False
543,2012-02-04,SCO,ENG,False,True
544,2012-02-04,FRA,ITA,True,False
545,2012-02-04,ROU,POR,True,False
546,2012-02-05,IRE,WAL,False,True
547,2012-02-11,POR,RUS,False,True
548,2012-02-11,ITA,ENG,False,True
549,2012-02-11,ESP,GEO,True,False
550,2012-02-12,WAL,SCO,True,False
551,2012-02-25,GEO,POR,True,False
552,2012-02-25,RUS,ROU,False,True
553,2012-02-25,IRE,ITA,True,False
554,2012-02-25,BEL,NED,True,False
555,2012-02-25,ENG,WAL,False,True
556,2012-02-25,UKR,ESP,False,True
557,2012-02-26,SCO,FRA,False,True
558,2012-03-10,WAL,ITA,True,False
559,2012-03-10,ROU,GEO,False,True
560,2012-03-10,POR,ESP,True,False
561,2012-03-10,RUS,UKR,True,False
562,2012-03-10,MDA,BEL,False,True
563,2012-03-10,IRE,SCO,True,False
564,2012-03-10,CZE,GER,False,True
565,2012-03-11,FRA,ENG,False,True
566,2012-03-17,SUI,SLO,True,False
567,2012-03-17,UKR,POR,True,False
568,2012-03-17,WAL,FRA,True,False
569,2012-03-17,ESP,ROU,True,False
570,2012-03-17,ENG,IRE,True,False
571,2012-03-17,GER,BEL,False,True
572,2012-03-17,ITA,SCO,True,False
573,2012-03-17,GEO,RUS,True,False
